epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.525112,0.313877,0.636251,0.317162,0.001
2,0.417193,0.278851,0.715504,0.388899,0.001
3,0.4064,0.259079,0.744266,0.401497,0.001
4,0.398069,0.250752,0.761231,0.415191,0.001
5,0.38881,0.246164,0.783988,0.432082,0.001
6,0.359847,0.231295,0.839944,0.408968,0.0001
7,0.319951,0.157146,0.885728,0.563396,0.0001
8,0.316369,0.160692,0.851821,0.553138,0.0001
9,0.289203,0.146552,0.899888,0.574989,0.0001
10,0.303164,0.135312,0.887762,0.590123,0.0001
11,0.289357,0.131141,0.908426,0.604556,0.0001
12,0.291544,0.13103,0.903597,0.558773,0.0001
13,0.2999,0.12099,0.911596,0.616148,0.0001
14,0.299463,0.123532,0.894629,0.580484,0.0001
15,0.252918,0.111813,0.907983,0.632389,0.0001
16,0.262761,0.11839,0.904075,0.609891,0.0001
17,0.293149,0.136722,0.878601,0.596132,0.0001
18,0.263872,0.125468,0.897778,0.636246,0.0001
19,0.274891,0.115732,0.915997,0.632857,0.0001
20,0.285564,0.131076,0.900409,0.588605,0.0001
21,0.253675,0.146166,0.870967,0.568778,0.0001
22,0.283983,0.122909,0.90211,0.642566,0.0001
23,0.247831,0.124809,0.89583,0.613537,0.0001
24,0.257545,0.119678,0.897568,0.589009,0.0001
25,0.270534,0.119905,0.894527,0.623485,0.0001
26,0.25984,0.11434,0.9045,0.612101,0.0001
27,0.251583,0.137068,0.899171,0.596793,0.0001
28,0.247581,0.117305,0.912699,0.622498,0.0001
29,0.269292,0.120949,0.905031,0.577732,0.0001
30,0.267785,0.120626,0.911494,0.599964,0.0001
31,0.253651,0.12895,0.892115,0.610383,0.0001
32,0.240081,0.124758,0.893223,0.59469,0.0001
33,0.257315,0.117247,0.908962,0.615193,0.0001
34,0.252409,0.126585,0.891401,0.609071,0.0001
35,0.27964,0.112266,0.916033,0.636672,0.0001
36,0.260397,0.116069,0.913438,0.63015,1e-05
37,0.240607,0.118508,0.906688,0.622211,1e-05
38,0.242739,0.113143,0.913736,0.630797,1e-05
39,0.240048,0.114129,0.912667,0.634294,1e-05
40,0.244171,0.114926,0.914687,0.64059,1e-05
41,0.261797,0.11549,0.906365,0.627834,1e-05
42,0.227006,0.113299,0.912944,0.624659,1e-05
43,0.23265,0.115261,0.909406,0.605179,1e-05
44,0.235772,0.11746,0.912283,0.617856,1e-05
45,0.243599,0.117253,0.907674,0.618062,1e-05
46,0.240954,0.11349,0.909074,0.623977,1e-05
47,0.246948,0.11329,0.9083,0.622207,1e-05
48,0.261837,0.116602,0.902103,0.5993,1e-05
49,0.249783,0.119661,0.902204,0.613874,1e-05
50,0.238061,0.11714,0.899083,0.612836,1e-05
