,ci_hi,ci_hi,ci_hi,ci_lo,ci_lo,ci_lo,value,value,value
metric,accuracy,macro_f1,qwk,accuracy,macro_f1,qwk,accuracy,macro_f1,qwk
experiment,,,,,,,,,
ensemble,0.8418181818181818,0.6969718776178995,0.9283805840138658,0.7781818181818182,0.5944800355459537,0.8898531768280977,0.8090909090909091,0.6466727312380993,0.9105308120338944
exp00,0.8618181818181818,0.7058665743411242,0.9189578366450847,0.7981818181818182,0.5974712558081418,0.860104173734882,0.8290909090909091,0.6563848140786085,0.8898803096978706
exp01_std,0.8636363636363636,0.7198087765879198,0.9188944111098452,0.8018181818181818,0.604918936611585,0.8638778819587912,0.8327272727272728,0.6648376220964691,0.8932106499128313
exp02_adv,0.8854545454545455,0.7545685507169346,0.9325137435765064,0.8272727272727273,0.6444709713736202,0.8792484154692431,0.8563636363636363,0.703208753063303,0.9082258858622544
exp03_foc,0.8745454545454545,0.7546690076230842,0.9361380766757634,0.8145454545454546,0.6529588998976432,0.8885265616981693,0.8454545454545455,0.706658063639245,0.9131515428674551
exp07_reg,0.8072727272727273,0.6453281204284912,0.9177359175308862,0.7363636363636363,0.5386226433692443,0.8748342738973243,0.7709090909090909,0.5974224029103211,0.8969845594541871
exp103_a1,0.8073181818181817,0.684124445793279,0.8896028521595297,0.7344999999999999,0.582575759729316,0.8207716888533004,0.7709090909090909,0.635564501438895,0.8575329113365427
exp12_thr,0.8327272727272728,0.6667227555999311,0.9177936464835907,0.7654545454545455,0.5541039847837113,0.8726459972808849,0.8,0.6124552447383915,0.8957690350107751
exp300,0.88,0.7452701443726165,0.9399590514547369,0.8236363636363636,0.6364366374555713,0.8889083208962049,0.8527272727272728,0.6944711494849226,0.9159119779513921
exp605_a1v3,0.6381818181818182,0.44635900337447404,0.8569094880083638,0.5545454545454546,0.3621979145166748,0.8004133172005891,0.5963636363636363,0.40457001954918415,0.8300298498993858
exp700_lp,0.7527272727272727,0.5969040883427346,0.885754011091057,0.6745,0.5039211869582201,0.8279109935716175,0.7145454545454546,0.5527664528527726,0.8588436515465077
exp701,0.8527272727272728,0.7330946396751719,0.92709005776872,0.7854090909090908,0.6331389058462189,0.876752574394691,0.8181818181818182,0.6856251586762713,0.9027731742348912
exp702_lpft,0.8090909090909091,0.6897135120355626,0.9090866888443084,0.7418181818181818,0.5902106363764557,0.8496927979776732,0.7763636363636364,0.6427450970690851,0.8822699725360309
exp804_swad,0.7963636363636364,0.6461838549347182,0.8960504925960883,0.7254545454545455,0.5391606597592508,0.8344407683026472,0.7618181818181818,0.5959760519261703,0.8664183021333964
exp805_l2sp,0.8309545454545454,0.7188320937605268,0.9182834698959954,0.7672727272727272,0.6195830151932913,0.8633608074091437,0.8,0.6713598252676052,0.8935957088676463
exp806_proto,0.8418181818181818,0.6954117499607406,0.9291585862007351,0.7781818181818182,0.5942904377238534,0.8779190051690557,0.8090909090909091,0.6442073910302537,0.906264307424835
