A,B,metric,delta,ci_lo,ci_hi,p_value
ensemble,exp701,qwk,0.007757637799003181,-0.013095540910848816,0.03010545351339412,0.462
ensemble,exp701,macro_f1,-0.038952427438171955,-0.08990957978786991,0.007301743957198443,0.106
ensemble,exp701,accuracy,-0.00909090909090915,-0.030954545454545537,0.016363636363636358,0.514
ensemble,exp300,qwk,-0.00538116591749771,-0.022391100908134627,0.01259704373953134,0.546
ensemble,exp300,macro_f1,-0.04779841824682329,-0.10305068888650615,0.003899428428862362,0.068
ensemble,exp300,accuracy,-0.043636363636363695,-0.07095454545454546,-0.016363636363636358,0.0
ensemble,exp00,qwk,0.020650502336023835,-0.0015760969644693062,0.04427688723722063,0.07
ensemble,exp00,macro_f1,-0.009712082840509173,-0.06352012746093667,0.043704914287801114,0.72
ensemble,exp00,accuracy,-0.020000000000000018,-0.050909090909090904,0.00909090909090915,0.26
exp701,exp00,qwk,0.012892864537020654,-0.014854138914880624,0.04415265949965016,0.356
exp701,exp00,macro_f1,0.029240344597662782,-0.030435039219480937,0.0886939798341702,0.296
exp701,exp00,accuracy,-0.010909090909090868,-0.043636363636363695,0.021818181818181848,0.536
