experiment,class,f1,ci_lo,ci_hi
ensemble,No DR,0.9775280898876404,0.9645376814476039,0.9893266628239187
ensemble,Mild,0.5769230769230769,0.4583035714285714,0.6875
ensemble,Moderate,0.7601246105919003,0.7044025157232704,0.8077005730659026
ensemble,Severe,0.37333333333333335,0.22215447154471543,0.5001373626373625
ensemble,Proliferative,0.5454545454545454,0.3767663043478261,0.6750081168831169
exp701,No DR,0.9721706864564007,0.9568623772210573,0.9858669685960285
exp701,Mild,0.5826771653543307,0.4696936758893281,0.6766975130133025
exp701,Moderate,0.759581881533101,0.704679221123278,0.8106357187752536
exp701,Severe,0.4307692307692308,0.2727272727272727,0.5797101449275363
exp701,Proliferative,0.6829268292682927,0.56,0.7865347836480995
